,urban,gender,age,hand,voted,married,familysize,points,result
496,2,2,14,1,2,1,2,69,complotist
497,2,1,38,1,2,1,3,16,Not complotist
498,3,2,27,1,2,3,2,45,complotist
499,2,1,45,1,1,3,2,51,complotist
500,2,1,33,1,2,1,3,28,Not complotist
501,2,2,18,1,2,1,2,37,Not complotist
502,2,1,16,1,2,1,2,40,complotist
503,2,2,16,1,2,1,2,61,complotist
504,1,1,25,1,1,3,3,39,Not complotist
505,1,2,21,1,2,1,2,55,complotist
506,2,1,19,1,1,1,3,28,Not complotist
507,3,2,15,1,2,1,1,53,complotist
508,2,1,51,1,2,1,2,26,Not complotist
509,3,1,42,1,2,1,2,42,complotist
510,3,2,20,1,2,1,2,31,Not complotist
511,2,1,17,1,2,1,4,36,Not complotist
512,2,2,19,1,2,1,1,75,complotist
513,2,1,18,3,2,1,0,29,Not complotist
514,2,2,14,2,2,1,2,43,complotist
515,2,2,16,1,2,1,4,51,complotist
516,2,2,29,1,2,1,3,60,complotist
517,1,2,48,3,1,2,4,36,Not complotist
518,2,1,19,1,2,1,0,75,complotist
519,2,3,18,1,2,1,2,53,complotist
520,1,2,14,1,2,1,4,52,complotist
521,1,2,20,1,2,1,2,47,complotist
522,3,2,21,1,1,1,4,24,Not complotist
523,2,1,49,1,2,1,3,32,Not complotist
524,2,2,20,1,2,1,1,49,complotist
525,3,2,18,1,2,1,2,39,Not complotist
526,1,1,31,1,1,1,2,57,complotist
527,2,1,18,1,2,1,2,65,complotist
528,2,2,16,1,2,1,2,48,complotist
529,3,1,23,1,1,1,2,39,Not complotist
530,2,1,33,1,1,3,2,51,complotist
531,3,1,16,1,2,1,1,24,Not complotist
532,2,1,26,1,2,1,2,51,complotist
533,2,2,21,1,1,1,4,49,complotist
534,3,2,59,1,1,3,3,52,complotist
535,3,2,18,1,2,1,4,55,complotist
536,3,1,39,1,1,2,2,53,complotist
537,1,2,31,1,2,2,4,50,complotist
538,2,2,16,3,2,1,0,64,complotist
539,1,2,13,1,2,1,2,15,Not complotist
540,3,2,17,1,2,1,1,50,complotist
541,3,2,22,1,2,1,1,26,Not complotist
542,1,2,16,1,2,1,2,52,complotist
543,3,1,19,1,2,1,2,29,Not complotist
544,1,1,39,1,2,1,2,31,Not complotist
545,1,1,44,1,1,3,3,43,complotist
546,2,2,62,1,2,2,2,60,complotist
547,3,2,14,3,2,1,2,50,complotist
548,1,2,33,1,1,1,1,23,Not complotist
549,2,2,18,1,2,1,4,36,Not complotist
550,2,1,20,1,2,1,1,17,Not complotist
551,3,1,33,1,2,1,1,38,Not complotist
552,2,2,19,1,1,1,2,38,Not complotist
553,2,1,25,1,1,1,3,72,complotist
554,2,1,30,1,1,2,2,36,Not complotist
555,1,1,20,1,1,1,2,32,Not complotist
556,3,2,17,1,2,1,4,35,Not complotist
557,2,1,26,1,2,2,3,64,complotist
558,1,1,16,1,2,1,1,43,complotist
559,2,1,45,1,2,2,2,75,complotist
560,2,2,55,1,1,2,4,19,Not complotist
561,1,2,20,1,1,1,4,70,complotist
562,2,1,29,1,2,1,1,60,complotist
563,2,1,23,2,2,1,1,32,Not complotist
564,3,1,25,1,2,1,2,56,complotist
565,3,1,19,1,2,1,3,49,complotist
566,1,1,23,1,1,1,4,38,Not complotist
567,2,2,18,2,2,1,6,23,Not complotist
568,2,1,25,1,2,1,2,51,complotist
569,3,1,18,1,2,1,2,67,complotist
570,2,1,47,1,2,2,5,30,Not complotist
571,0,2,45,3,2,1,1,15,Not complotist
572,3,1,23,3,1,1,2,41,complotist
573,2,1,29,1,2,1,2,64,complotist
574,2,2,17,2,2,1,1,59,complotist
575,2,1,25,1,1,1,3,21,Not complotist
576,3,2,16,1,2,1,2,26,Not complotist
577,2,1,24,1,2,1,1,58,complotist
578,2,1,23,1,1,1,4,20,Not complotist
579,3,2,32,1,2,2,2,51,complotist
580,2,2,23,1,2,1,2,33,Not complotist
581,3,1,20,1,2,1,0,75,complotist
582,2,3,16,2,2,1,3,42,complotist
583,2,2,46,1,2,2,3,27,Not complotist
584,1,1,28,1,1,1,1,24,Not complotist
585,1,1,27,1,1,1,3,58,complotist
586,2,2,50,1,1,3,1,70,complotist
587,0,1,52,1,1,2,2,18,Not complotist
588,3,1,22,1,1,1,1,48,complotist
589,2,1,25,1,2,1,2,22,Not complotist
590,3,2,59,1,0,2,2,59,complotist
591,2,2,42,1,2,1,2,72,complotist
592,3,2,44,3,1,2,2,49,complotist
593,3,1,30,2,2,1,2,52,complotist
594,2,2,58,1,2,3,4,75,complotist
595,1,1,46,1,2,1,0,55,complotist
596,2,1,20,1,2,1,7,75,complotist
597,2,1,46,1,1,2,3,62,complotist
598,2,1,21,1,2,1,3,45,complotist
599,2,1,61,1,2,3,4,71,complotist
600,3,2,28,1,2,2,3,60,complotist
601,1,2,35,2,2,1,4,55,complotist
602,1,1,22,1,1,1,2,41,complotist
603,2,1,56,1,1,3,3,61,complotist
604,2,2,42,2,1,2,3,50,complotist
605,1,1,45,1,1,1,3,72,complotist
606,2,1,61,1,1,2,2,62,complotist
